,HVPI,IP_Verarbeitendes_Gew,IP_Nahrungs_Genuss,IP_Textil_Leder,IP_Holz_Papier_Druck,IP_Mineraloel,IP_Chemie,IP_Pharma,IP_Metall_Grundstoffe,IP_Metallerzeugnisse,IP_DV_Elektronik,IP_Elektrisch,IP_Maschinenbau,IP_Kfz,IP_Sonstiger_Fahrzeug,IP_Energie,BS_Konjunkturklima,BS_Produktionserwart,BS_Produktionstendenz,BS_Absatzpreise,BS_Auftragsbestand,PPI_Gesamt,PPI_Konsumgueter,PPI_Vorleistungen,ALQ_Gesamt,ALQ_Maenner,ALQ_Frauen,ALQ_Kern_Ges,ALQ_Kern_M,ALQ_Kern_F,LCI_Lohnkosten_BN,LCI_Loehne_BN,LCI_Lohnkosten_Ind,LCI_Loehne_Ind
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,1.273885350318471,12.834978843441448,6.362545018007193,,,0.4512635379061436,6.187845303867401,16.055045871559635,16.82146542827656,14.900153609831035,27.192982456140346,19.00584795321638,13.687600644122377,24.48717948717949,7.875894988066845,-2.201974183750932,-72.54901960784314,-59.01639344262295,358.33333333333337,-31.32530120481928,-71.08433734939759,4.538799414348471,2.5537634408602017,3.5911602209944604,-6.097560975609751,-3.8461538461538436,-8.139534883720923,-6.172839506172845,-3.9473684210526327,-7.954545454545469,3.747870528109032,3.690685413005279,4.4673539518900185,4.217926186291732
2001-02-01,1.781170483460559,1.5094339622641506,-1.9540229885057547,,,-5.825242718446599,-3.759398496240607,3.7815126050420034,2.6540284360189625,2.3480662983425216,13.994910941475824,4.804045512010124,4.526748971193406,5.497925311203322,0.8849557522123908,-7.0016474464579925,51.61290322580645,-10.909090909090901,-108.87096774193547,18.8405797101449,-51.8796992481203,4.678362573099393,2.684563758389258,3.1636863823933936,-4.93827160493826,-3.8461538461538436,-8.139534883720923,-5.000000000000004,-2.6666666666666727,-8.045977011494243,3.747870528109032,3.690685413005279,4.4673539518900185,4.217926186291732
2001-03-01,1.781170483460559,2.4802705749718212,-2.063983488132093,,,-3.7374658158614515,0.3054989816700493,0.3937007874015741,1.4554794520547976,4.353233830845782,14.031180400890886,5.504587155963292,4.39814814814814,6.698113207547163,1.0060362173038184,-4.626623376623373,393.33333333333337,58.974358974358985,-96.0,100.0,12.643678160919558,4.817518248175179,3.489932885906022,2.7397260273972712,-6.172839506172845,-2.5974025974025983,-8.235294117647063,-5.000000000000004,-2.6666666666666727,-6.976744186046513,3.747870528109032,3.690685413005279,4.4673539518900185,4.217926186291732
