,HVPI,IP_Verarbeitendes_Gew,IP_Nahrungs_Genuss,IP_Textil_Leder,IP_Holz_Papier_Druck,IP_Mineraloel,IP_Chemie,IP_Pharma,IP_Metall_Grundstoffe,IP_Metallerzeugnisse,IP_DV_Elektronik,IP_Elektrisch,IP_Maschinenbau,IP_Kfz,IP_Sonstiger_Fahrzeug,IP_Energie,BS_Konjunkturklima,BS_Produktionserwart,BS_Produktionstendenz,BS_Absatzpreise,BS_Auftragsbestand,PPI_Gesamt,PPI_Konsumgueter,PPI_Vorleistungen,ALQ_Gesamt,ALQ_Maenner,ALQ_Frauen,ALQ_Kern_Ges,ALQ_Kern_M,ALQ_Kern_F,LCI_Lohnkosten_BN,LCI_Loehne_BN,LCI_Lohnkosten_Ind,LCI_Loehne_Ind
2000-01-01,78.5,70.9,83.3,0.0,0.0,110.8,90.5,43.6,96.9,65.1,34.2,68.4,62.1,78.0,41.9,131.7,-5.1,-6.1,1.2,8.3,-16.6,68.3,74.4,72.4,8.2,7.8,8.6,8.1,7.6,8.8,58.7,56.9,58.2,56.9
2000-02-01,78.6,79.5,87.0,0.0,0.0,103.0,93.1,47.6,105.5,72.4,39.3,79.1,72.9,96.4,45.2,121.4,-3.1,-5.5,12.4,6.9,-13.3,68.4,74.5,72.7,8.1,7.8,8.6,8.0,7.5,8.7,58.7,56.9,58.2,56.9
2000-03-01,78.6,88.7,96.9,0.0,0.0,109.7,98.2,50.8,116.8,80.4,44.9,87.2,86.4,106.0,49.7,123.2,-1.5,-3.9,10.0,5.4,-8.7,68.5,74.5,73.0,8.1,7.7,8.5,8.0,7.5,8.6,58.7,56.9,58.2,56.9
2000-04-01,78.6,76.2,89.5,0.0,0.0,107.3,91.9,43.1,98.1,69.1,37.3,70.4,72.8,87.7,42.9,108.0,-1.2,-2.8,-0.7,3.2,-10.1,68.7,74.7,73.6,8.0,7.7,8.5,7.9,7.4,8.6,70.0,69.0,70.7,70.3
2000-05-01,78.4,88.5,100.2,0.0,0.0,110.2,101.3,51.7,114.3,81.1,43.0,85.3,83.6,107.0,47.9,103.5,0.1,-2.7,14.0,4.1,-6.9,69.0,75.0,73.8,8.0,7.7,8.4,7.9,7.4,8.5,70.0,69.0,70.7,70.3
2000-06-01,78.9,81.4,93.5,0.0,0.0,98.8,95.3,45.3,102.6,73.2,43.2,76.1,81.9,92.2,43.4,95.5,-0.5,-2.1,-1.5,5.3,-6.3,69.3,75.1,73.9,8.0,7.7,8.3,7.9,7.4,8.4,70.0,69.0,70.7,70.3
2000-07-01,79.2,80.4,92.0,0.0,0.0,112.2,94.5,48.2,99.8,73.9,42.5,76.9,77.2,91.2,42.6,102.6,0.4,-1.3,3.7,5.3,-5.7,69.7,75.3,74.2,7.9,7.6,8.3,7.8,7.4,8.4,61.5,60.2,62.1,61.3
2000-08-01,79.0,79.2,97.5,0.0,0.0,118.1,93.9,51.0,103.0,74.4,42.2,75.1,74.4,78.8,41.3,99.4,1.7,-1.0,3.2,4.2,-3.2,69.8,75.4,74.4,7.9,7.6,8.2,7.8,7.4,8.3,61.5,60.2,62.1,61.3
2000-09-01,79.2,87.7,95.3,0.0,0.0,105.4,92.3,51.8,108.9,80.4,49.9,89.0,89.2,96.0,44.5,104.4,0.6,0.3,8.1,3.4,-3.3,70.5,75.5,74.7,7.9,7.6,8.2,7.8,7.4,8.3,61.5,60.2,62.1,61.3
2000-10-01,79.1,87.1,102.4,0.0,0.0,110.9,97.2,49.9,109.0,80.0,48.4,85.4,81.8,98.4,45.5,113.9,1.5,1.4,4.2,3.0,-2.4,70.8,75.5,74.9,7.8,7.6,8.1,7.7,7.4,8.2,69.9,68.2,70.7,69.3
2000-11-01,79.1,91.7,105.9,0.0,0.0,107.4,97.2,53.7,115.5,84.1,52.1,90.5,88.5,108.0,49.3,120.0,0.5,0.8,5.4,4.6,-1.7,71.1,75.7,74.9,7.8,7.6,8.0,7.7,7.3,8.2,69.9,68.2,70.7,69.3
2000-12-01,80.0,80.6,92.8,0.0,0.0,110.2,84.6,40.2,85.1,69.8,48.5,83.4,95.8,85.8,42.8,123.2,-0.7,0.6,-2.3,5.4,-3.8,70.7,75.9,75.0,7.7,7.5,8.0,7.7,7.3,8.1,69.9,68.2,70.7,69.3
2001-01-01,79.5,80.0,88.6,0.0,0.0,111.3,96.1,50.6,113.2,74.8,43.5,81.4,70.6,97.1,45.2,128.8,-1.4,-2.5,5.5,5.7,-4.8,71.4,76.3,75.0,7.7,7.5,7.9,7.6,7.3,8.1,60.9,59.0,60.8,59.3
2001-02-01,80.0,80.7,85.3,0.0,0.0,97.0,89.6,49.4,108.3,74.1,44.8,82.9,76.2,101.7,45.6,112.9,-4.7,-4.9,-1.1,8.2,-6.4,71.6,76.5,75.0,7.7,7.5,7.9,7.6,7.3,8.0,60.9,59.0,60.8,59.3
2001-03-01,80.0,90.9,94.9,0.0,0.0,105.6,98.5,51.0,118.5,83.9,51.2,92.0,90.2,113.1,50.2,117.5,-7.4,-6.2,0.4,10.8,-9.8,71.8,77.1,75.0,7.6,7.5,7.8,7.6,7.3,8.0,60.9,59.0,60.8,59.3
2001-04-01,80.3,80.0,89.8,0.0,0.0,102.0,92.8,48.8,106.1,74.0,42.7,76.3,78.1,96.0,45.7,109.7,-11.6,-9.2,-13.3,11.0,-16.4,72.1,77.3,75.0,7.6,7.5,7.8,7.6,7.3,8.0,72.0,70.8,73.0,72.2
2001-05-01,80.7,85.8,97.3,0.0,0.0,107.4,94.2,51.4,111.6,80.5,44.1,84.7,83.4,103.8,48.2,103.7,-12.7,-10.3,-3.3,12.7,-16.3,72.2,77.7,74.9,7.7,7.6,7.8,7.6,7.4,8.0,72.0,70.8,73.0,72.2
2001-06-01,80.8,83.7,91.1,0.0,0.0,105.0,91.6,51.1,106.6,78.6,43.8,83.2,85.7,97.5,47.3,93.5,-15.6,-13.3,-14.8,15.2,-21.1,72.3,77.8,74.8,7.7,7.6,7.8,7.7,7.4,8.0,72.0,70.8,73.0,72.2
2001-07-01,80.9,82.0,93.9,0.0,0.0,112.1,92.6,55.5,102.6,77.3,42.6,82.1,81.0,91.2,46.4,98.9,-13.8,-16.3,-13.7,14.1,-21.2,71.9,77.7,74.4,7.8,7.7,7.9,7.7,7.5,8.0,63.2,61.8,63.7,62.7
2001-08-01,80.7,79.2,97.9,0.0,0.0,110.5,88.1,53.3,100.4,75.3,40.3,78.0,74.9,84.6,46.0,98.3,-16.2,-17.0,-12.4,15.7,-23.9,71.8,77.7,74.3,7.8,7.8,7.9,7.8,7.5,8.1,63.2,61.8,63.7,62.7
